,taxa,family,genus,rank,Type,source,level_inferred,b,a
405,Peristedion cataphractum,Peristediidae,Peristedion,Species,TL,fb-21.04,spe,2.95765,0.00555
79,Sardina pilchardus,Alosidae,Sardina,Species,TL,fb-21.04,spe,3.188888,0.0055008
330,Nezumia aequalis,Macrouridae,Nezumia,Species,TL,fb-21.04,spe,2.826666667,0.005493333
441,Nesiarchus nasutus,Gempylidae,Nesiarchus,Species,TL,fb-21.04,fam,3.054714286,0.005398571
135,Gaidropsarus mediterraneus,Lotidae,Gaidropsarus,Species,TL,fb-21.04,spe,3.1015,0.005368333
392,Arnoglossus rueppelii,Bothidae,Arnoglossus,Species,TL,fb-21.04,spe,3.038,0.00535
15,Trisopterus esmarkii,Gadidae,Trisopterus,Species,TL,fb-21.04,spe,3.105569231,0.005333846
514,Ophichthus rufus,Ophichthidae,Ophichthus,Species,TL,fb-21.04,gen,2.805666667,0.005266667
522,Bathytoshia centroura,Dasyatidae,Bathytoshia,Species,TL,fb-21.04,spe,3,0.005265
352,Lampanyctus,Myctophidae,Lampanyctus,Genus,TL,fb-21.04,gen,3.11868,0.00524
466,Lampanyctus photonotus,Myctophidae,Lampanyctus,Species,TL,fb-21.04,gen,3.11868,0.00524
489,Lampanyctus intricarius,Myctophidae,Lampanyctus,Species,TL,fb-21.04,gen,3.11868,0.00524
160,Arnoglossus imperialis,Bothidae,Arnoglossus,Species,TL,fb-21.04,spe,3.168,0.0052375
214,Buenia jeffreysii,Gobiidae,Buenia,Species,TL,fb-21.04,spe,3.271,0.00521
217,Hippocampus hippocampus,Syngnathidae,Hippocampus,Species,TL,fb-21.04,spe,2.8395,0.0052
485,Poecilopsetta beanii,Pleuronectidae,Poecilopsetta,Species,TL,fb-21.04,gen,3.04,0.0051
91,Phycis blennoides,Phycidae,Phycis,Species,TL,fb-21.04,spe,3.223230769,0.005064615
5,Hippoglossoides platessoides,Pleuronectidae,Hippoglossoides,Species,TL,fb-21.04,spe,3.1557,0.00495
207,Raja microocellata,Rajidae,Raja,Species,TL,fb-21.04,spe,3.117,0.00494
48,Rajidae,Rajidae,NA,Family,TL,fb-21.04,fam,3.227729114,0.004917215
415,Neoraja iberica,Rajidae,Neoraja,Species,TL,fb-21.04,fam,3.227729114,0.004917215
491,Neoraja caerulea,Rajidae,Neoraja,Species,TL,fb-21.04,fam,3.227729114,0.004917215
507,Breviraja,Rajidae,Breviraja,Genus,TL,fb-21.04,fam,3.227729114,0.004917215
220,Labrus mixtus,Labridae,Labrus,Species,TL,fb-21.04,spe,3.2875,0.0049
205,Centrolabrus exoletus,Labridae,Centrolabrus,Species,TL,fb-21.04,spe,3.23,0.004885
238,Rajella fyllae,Rajidae,Rajella,Species,TL,fb-21.04,gen,3,0.00487
299,Rajella bathyphila,Rajidae,Rajella,Species,TL,fb-21.04,gen,3,0.00487
505,Rajella,Rajidae,Rajella,Genus,TL,fb-21.04,gen,3,0.00487
75,Anarhichas minor,Anarhichadidae,Anarhichas,Species,TL,fb-21.04,gen,3.09972,0.00484
85,Anarhichadidae,Anarhichadidae,NA,Family,TL,fb-21.04,fam,3.09972,0.00484
97,Anarhichas,Anarhichadidae,Anarhichas,Genus,TL,fb-21.04,gen,3.09972,0.00484
399,Etmopterus pusillus,Etmopteridae,Etmopterus,Species,TL,fb-21.04,spe,2.998666667,0.004836667
295,Mora moro,Moridae,Mora,Species,TL,fb-21.04,spe,3.2058,0.004824
365,Hydrolagus mirabilis,Chimaeridae,Hydrolagus,Species,TL,fb-21.04,gen,3.088,0.004746667
378,Gonostoma,Gonostomatidae,Gonostoma,Genus,TL,fb-21.04,fam,2.964,0.00473
452,Sigmops bathyphilus,Gonostomatidae,Sigmops,Species,TL,fb-21.04,fam,2.964,0.00473
461,Sigmops elongatus,Gonostomatidae,Sigmops,Species,TL,fb-21.04,fam,2.964,0.00473
499,Gonostomatidae,Gonostomatidae,NA,Family,TL,fb-21.04,fam,2.964,0.00473
503,Cyclothone,Gonostomatidae,Cyclothone,Genus,TL,fb-21.04,fam,2.964,0.00473
20,Squalus acanthias,Squalidae,Squalus,Species,TL,fb-21.04,spe,3.057269231,0.004718462
311,Hippocampus guttulatus,Syngnathidae,Hippocampus,Species,TL,fb-21.04,spe,2.838666667,0.004706667
54,Ammodytidae,Ammodytidae,NA,Family,TL,fb-21.04,fam,2.990433333,0.004683333
120,Raja undulata,Rajidae,Raja,Species,TL,fb-21.04,spe,3.13125,0.004635
331,Etmopterus princeps,Etmopteridae,Etmopterus,Species,TL,fb-21.04,gen,3.010916667,0.004580833
9,Scomber scombrus,Scombridae,Scomber,Species,TL,fb-21.04,spe,3.244322581,0.004545806
56,Ammodytes,Ammodytidae,Ammodytes,Genus,TL,fb-21.04,gen,3.06005,0.0045225
400,Epigonus denticulatus,Epigonidae,Epigonus,Species,TL,fb-21.04,spe,3.26,0.0045
390,Symphurus nigrescens,Cynoglossidae,Symphurus,Species,TL,fb-21.04,spe,3.310333333,0.004433333
244,Hippocampus,Syngnathidae,Hippocampus,Genus,TL,fb-21.04,gen,2.865833333,0.00433
351,Rostroraja alba,Rajidae,Rostroraja,Species,TL,fb-21.04,spe,3.091333333,0.004226667
248,Coregonus albula,Salmonidae,Coregonus,Species,TL,fb-21.04,spe,3.333333333,0.0042
293,Argyropelecus hemigymnus,Sternoptychidae,Argyropelecus,Species,TL,fb-21.04,spe,3.59,0.0042
488,Remora remora,Echeneidae,Remora,Species,TL,fb-21.04,spe,3,0.00418
504,Remora brachyptera,Echeneidae,Remora,Species,TL,fb-21.04,gen,3,0.00418
71,Etmopterus spinax,Etmopteridae,Etmopterus,Species,TL,fb-21.04,spe,3.025833333,0.004178333
473,Alepocephalidae,Alepocephalidae,NA,Family,TL,fb-21.04,fam,3.112709091,0.004165455
412,Squalus blainville,Squalidae,Squalus,Species,TL,fb-21.04,spe,3.045609091,0.004157273
401,Nezumia bairdii,Macrouridae,Nezumia,Species,TL,fb-21.04,gen,2.929,0.004076
446,Sagamichthys schnakenbecki,Platytroctidae,Sagamichthys,Species,NA,fb-Aug9-estimates-bayesian,NA,3.17,0.00407
447,Searsia koefoedi,Platytroctidae,Searsia,Species,NA,fb-Aug9-estimates-bayesian,NA,3.17,0.00407
140,Leucoraja circularis,Rajidae,Leucoraja,Species,TL,fb-21.04,spe,3.08,0.0039
435,Alepocephalus rostratus,Alepocephalidae,Alepocephalus,Species,TL,fb-21.04,spe,3.145,0.0039
453,Nansenia,Microstomatidae,Nansenia,Genus,NA,fb-Aug9-estimates-bayesian,Nansenia tenera,3.12,0.00389
470,Nansenia tenera,Microstomatidae,Nansenia,Species,NA,fb-Aug9-estimates-bayesian,NA,3.12,0.00389
464,Melanonus zugmayeri,Melanonidae,Melanonus,Species,NA,fb-Aug9-estimates-bayesian,NA,3.1,0.00372
43,Enchelyopus cimbrius,Lotidae,Enchelyopus,Species,TL,fb-21.04,spe,3.0842,0.003713333
286,Dicentrarchus punctatus,Moronidae,Dicentrarchus,Species,TL,fb-21.04,spe,3.314,0.00364
68,Galeus melastomus,Pentanchidae,Galeus,Species,TL,fb-21.04,spe,2.970842105,0.003567368
86,Chimaera monstrosa,Chimaeridae,Chimaera,Species,TL,fb-21.04,spe,3.120333333,0.003513333
122,Pholis gunnellus,Pholidae,Pholis,Species,TL,fb-21.04,spe,3.0575,0.00351
177,Leptagonus decagonus,Agonidae,Leptagonus,Species,TL,fb-21.04,spe,3,0.00349
357,Chauliodus sloani,Stomiidae,Chauliodus,Species,TL,fb-21.04,spe,2.9,0.0034
249,Pungitius pungitius,Gasterosteidae,Pungitius,Species,TL,fb-21.04,spe,3.08,0.00338
296,Polymetme corythaeola,Phosichthyidae,Polymetme,Species,TL,fb-21.04,spe,3.116,0.00337
325,Polymetme thaeocoryla,Phosichthyidae,Polymetme,Species,TL,fb-21.04,gen,3.116,0.00337
350,Galeus murinus,Pentanchidae,Galeus,Species,TL,fb-21.04,gen,2.993404545,0.003367273
367,Chimaera opalescens,Chimaeridae,Chimaera,Species,TL,fb-21.04,gen,3.09025,0.003085
193,Arctozenus risso,Paralepididae,Arctozenus,Species,TL,fb-21.04,fam,2.976,0.003063333
321,Macroparalepis affinis,Paralepididae,Macroparalepis,Species,TL,fb-21.04,fam,2.976,0.003063333
366,Magnisudis atlantica,Paralepididae,Magnisudis,Species,TL,fb-21.04,fam,2.976,0.003063333
432,Paralepis coregonoides,Paralepididae,Paralepis,Species,TL,fb-21.04,fam,2.976,0.003063333
32,Molva molva,Lotidae,Molva,Species,TL,fb-21.04,spe,3.1799,0.0030075
459,Alepocephalus bairdii,Alepocephalidae,Alepocephalus,Species,TL,fb-21.04,spe,3.2085,0.00296
438,Notacanthus,Notacanthidae,Notacanthus,Genus,TL,fb-21.04,gen,3.058133333,0.002946667
456,Parasudis fraserbrunneri,Chlorophthalmidae,Parasudis,Species,TL,fb-21.04,gen,3.239,0.00288
90,Lycodes vahlii,Zoarcidae,Lycodes,Species,TL,fb-21.04,gen,3.323572727,0.002827273
98,Lycodes,Zoarcidae,Lycodes,Genus,TL,fb-21.04,gen,3.323572727,0.002827273
192,Lycodes gracilis,Zoarcidae,Lycodes,Species,TL,fb-21.04,gen,3.323572727,0.002827273
204,Centrophorus granulosus,Centrophoridae,Centrophorus,Species,TL,fb-21.04,spe,3.261666667,0.002795
274,Molva macrophthalma,Lotidae,Molva,Species,TL,fb-21.04,gen,3.17372,0.002788
118,Anguillidae,Anguillidae,NA,Family,TL,fb-21.04,fam,3.092661364,0.002739205
226,Anguilla,Anguillidae,Anguilla,Genus,TL,fb-21.04,gen,3.092661364,0.002739205
440,Melanostomias bartonbeani,Stomiidae,Melanostomias,Species,TL,fb-21.04,fam,3.064727273,0.002734545
442,Chirostomias pliopterus,Stomiidae,Chirostomias,Species,TL,fb-21.04,fam,3.064727273,0.002734545
444,Echiostoma barbatum,Stomiidae,Echiostoma,Species,TL,fb-21.04,fam,3.064727273,0.002734545
88,Raja,Rajidae,Raja,Genus,TL,fb-21.04,gen,3.262822222,0.002666852
413,Raja asterias,Rajidae,Raja,Species,TL,fb-21.04,spe,3.256,0.002645
29,Raja clavata,Rajidae,Raja,Species,TL,fb-21.04,spe,3.21474,0.002532
353,Notacanthidae,Notacanthidae,NA,Family,TL,fb-21.04,fam,3.0436,0.0024925
113,Leucoraja fullonica,Rajidae,Leucoraja,Species,TL,fb-21.04,gen,3.2352,0.002488889
166,Leucoraja lentiginosa,Rajidae,Leucoraja,Species,TL,fb-21.04,gen,3.2352,0.002488889
37,Dipturus,Rajidae,Dipturus,Genus,TL,fb-21.04,gen,3.31805,0.0024875
241,Rajella lintea,Rajidae,Dipturus,Species,TL,fb-21.04,gen,3.31805,0.0024875
427,Dipturus nidarosiensis,Rajidae,Dipturus,Species,TL,fb-21.04,gen,3.31805,0.0024875
200,Brama brama,Bramidae,Brama,Species,TL,fb-21.04,spe,3.467666667,0.002436667
73,Raja brachyura,Rajidae,Raja,Species,TL,fb-21.04,spe,3.295,0.0024075
58,Raja montagui,Rajidae,Raja,Species,TL,fb-21.04,spe,3.25115,0.0024025
223,Chirolophis ascanii,Stichaeidae,Chirolophis,Species,TL,fb-21.04,gen,3.423,0.0024
358,Centrolophus niger,Centrolophidae,Centrolophus,Species,TL,fb-21.04,spe,3.346,0.0024
418,Galeus atlanticus,Pentanchidae,Galeus,Species,TL,fb-21.04,spe,3.07,0.0023
33,Leucoraja naevus,Rajidae,Leucoraja,Species,TL,fb-21.04,spe,3.2558,0.002291667
36,Glyptocephalus cynoglossus,Pleuronectidae,Glyptocephalus,Species,TL,fb-21.04,spe,3.307785714,0.002272857
108,Anguilla anguilla,Anguillidae,Anguilla,Species,TL,fb-21.04,spe,3.08382931,0.002269483
359,Centrophorus squamosus,Centrophoridae,Centrophorus,Species,TL,fb-21.04,spe,3.263333333,0.002226667
375,Conger,Congridae,Conger,Genus,TL,fb-21.04,gen,3.309278261,0.002218696
34,Myxine glutinosa,Myxinidae,Myxine,Species,TL,fb-21.04,spe,2.8357,0.0022
501,Synaphobranchidae,Synaphobranchidae,NA,Family,TL,fb-21.04,fam,3.186171429,0.00219
511,Dysomma brevirostre,Synaphobranchidae,Dysomma,Species,TL,fb-21.04,fam,3.186171429,0.00219
147,Spinachia spinachia,Gasterosteidae,Spinachia,Species,TL,fb-21.04,spe,3,0.0021
360,Heptranchias perlo,Hexanchidae,Heptranchias,Species,TL,fb-21.04,spe,3.08,0.0021
109,Petromyzon marinus,Petromyzontidae,Petromyzon,Species,TL,fb-21.04,spe,3,0.00208
180,Petromyzon,Petromyzontidae,Petromyzon,Genus,TL,fb-21.04,gen,3,0.00208
268,Lepidion eques,Moridae,Lepidion,Species,TL,fb-21.04,gen,3.4275,0.0020475
125,Scyliorhinus stellaris,Scyliorhinidae,Scyliorhinus,Species,TL,fb-21.04,spe,3.167,0.002
197,Bathyraja brachyurops,Arhynchobatidae,Bathyraja,Species,TL,fb-21.04,spe,3.303,0.002
121,Molva dypterygia,Lotidae,Molva,Species,TL,fb-21.04,spe,3.149,0.00191
510,Epigonus constanciae,Epigonidae,Epigonus,Species,TL,fb-21.04,spe,3.59,0.0019
229,Trachipterus arcticus,Trachipteridae,Trachipterus,Species,TL,fb-21.04,spe,3,0.00183
477,Trachipterus trachypterus,Trachipteridae,Trachipterus,Species,TL,fb-21.04,gen,3,0.00183
368,Petromyzontidae,Petromyzontidae,NA,Family,TL,fb-21.04,fam,2.930647059,0.001800588
497,Congridae,Congridae,NA,Family,TL,fb-21.04,fam,3.250930303,0.001788182
379,Raja miraletus,Rajidae,Raja,Species,TL,fb-21.04,spe,3.44465,0.001745
116,Scyliorhinus,Scyliorhinidae,Scyliorhinus,Genus,TL,fb-21.04,gen,3.192017391,0.001721304
60,Scyliorhinus canicula,Scyliorhinidae,Scyliorhinus,Species,TL,fb-21.04,spe,3.193154545,0.001708636
72,Maurolicus muelleri,Sternoptychidae,Maurolicus,Species,TL,fb-21.04,spe,3.961,0.00164
327,Deania profundorum,Centrophoridae,Deania,Species,TL,fb-21.04,spe,3.205,0.00161
130,Scomberesox saurus,Scomberesocidae,Scomberesox,Subspecies,TL,fb-21.04,spe,3.193,0.0015
448,Scomberesox saurus,Scomberesocidae,Scomberesox,Species,TL,fb-21.04,spe,3.193,0.0015
340,Carapus acus,Carapidae,Carapus,Species,TL,fb-21.04,gen,3,0.00144
110,Belone belone,Belonidae,Belone,Species,TL,fb-21.04,spe,2.971006667,0.001436667
161,Trachyrincus murrayi,Macrouridae,Trachyrincus,Species,TL,fb-21.04,gen,3.232,0.00129
322,Trachyrincus scabrus,Macrouridae,Trachyrincus,Species,TL,fb-21.04,spe,3.232,0.00129
328,Lestidiops jayakari,Paralepididae,Lestidiops,Subspecies,TL,fb-21.04,spe,2.928,0.00128
95,Aphia minuta,Gobiidae,Aphia,Species,TL,fb-21.04,spe,3.549046154,0.001267692
483,Astronesthes niger,Stomiidae,Astronesthes,Species,TL,fb-21.04,gen,3.106,0.00126
408,Gnathophis mystax,Congridae,Gnathophis,Species,TL,fb-21.04,spe,2.9885,0.00125
145,Gymnammodytes semisquamatus,Ammodytidae,Gymnammodytes,Species,TL,fb-21.04,gen,3.307,0.0012
356,Notacanthus bonaparte,Notacanthidae,Notacanthus,Species,TL,fb-21.04,spe,3.06,0.0012
146,Lampetra fluviatilis,Petromyzontidae,Lampetra,Species,TL,fb-21.04,spe,3.1659,0.001176667
467,Polyacanthonotus rissoanus,Notacanthidae,Polyacanthonotus,Species,TL,fb-21.04,gen,3,0.00113
253,Regalecus glesne,Regalecidae,Regalecus,Species,NA,fb-Aug9-estimates-bayesian,NA,3.06,0.00102
468,Nessorhamphus ingolfianus,Derichthyidae,Nessorhamphus,Species,NA,fb-Aug9-estimates-bayesian,NA,3.06,0.00102
338,Serrivomer beanii,Serrivomeridae,Serrivomer,Species,TL,fb-21.04,gen,3,0.00101
103,Ammodytes marinus,Ammodytidae,Ammodytes,Species,TL,fb-21.04,spe,3.49375,0.000995
309,Nezumia sclerorhynchus,Macrouridae,Nezumia,Species,TL,fb-21.04,spe,3.233,9.00E-04
320,Stomias boa,Stomiidae,Stomias,Subspecies,TL,fb-21.04,gen,3.233,0.00088
428,Stomias ferox,Stomiidae,Stomias,Subspecies,TL,fb-21.04,gen,3.233,0.00088
433,Stomias boa,Stomiidae,Stomias,Species,TL,fb-21.04,gen,3.233,0.00088
344,Aphanopus carbo,Trichiuridae,Aphanopus,Species,TL,fb-21.04,spe,3.186166667,0.000855
99,Syngnathidae,Syngnathidae,NA,Family,TL,fb-21.04,fam,3.0830792,0.0008528
380,Nettastoma melanura,Nettastomatidae,Nettastoma,Species,TL,fb-21.04,spe,3.343233333,0.000746667
298,Synaphobranchus kaupii,Synaphobranchidae,Synaphobranchus,Species,TL,fb-21.04,spe,3.1775,0.000705
111,Conger conger,Congridae,Conger,Species,TL,fb-21.04,spe,3.332026667,0.000671333
494,Facciolella oxyrhynchus,Nettastomatidae,Facciolella,Species,TL,fb-21.04,fam,3.210675,0.0006575
364,Centroselachus crepidater,Somniosidae,Centroscymnus,Species,TL,fb-21.04,spe,3.477,6.00E-04
115,Echiodon drummondii,Carapidae,Echiodon,Species,TL,fb-21.04,spe,3,0.00059
190,Dipturus oxyrinchus,Rajidae,Dipturus,Species,TL,fb-21.04,spe,3.4695,0.00059
479,Echiodon dentatus,Carapidae,Echiodon,Species,TL,fb-21.04,gen,3,0.00059
283,Xiphias gladius,Xiphiidae,Xiphias,Species,TL,fb-21.04,spe,3.64,0.00049
153,Syngnathus,Syngnathidae,Nerophis,Genus,TL,fb-21.04,gen,2.5625,0.000433333
231,Nerophis lumbriciformis,Syngnathidae,Nerophis,Species,TL,fb-21.04,spe,3,0.00042
437,Nemichthys scolopaceus,Nemichthyidae,Nemichthys,Species,TL,fb-21.04,spe,3,0.00041
300,Lepidopus caudatus,Trichiuridae,Lepidopus,Species,TL,fb-21.04,spe,3.1723,0.000354
106,Syngnathus,Syngnathidae,Syngnathus,Genus,TL,fb-21.04,gen,3.227264138,0.000331379
119,Entelurus aequoreus,Syngnathidae,Entelurus,Species,TL,fb-21.04,spe,2.89035,0.00026
341,Ijimaia loppei,Ateleopodidae,Ijimaia,Species,TL,fb-21.04,gen,3.509,1.00E-04
391,Benthodesmus elongatus,Trichiuridae,Benthodesmus,Species,TL,fb-21.04,spe,3.352333333,8.00E-05
513,Benthodesmus simonyi,Trichiuridae,Benthodesmus,Species,TL,fb-21.04,spe,3.674,1.00E-05