"taxa","family","genus","rank"
"Tetronarce nobiliana","Torpedinidae","Tetronarce","Species"
"Arnoglossus thori","Bothidae","Arnoglossus","Species"
"Pagellus acarne","Sparidae","Pagellus","Species"
"Umbrina canariensis","Sciaenidae","Umbrina","Species"
"Serranus hepatus","Serranidae","Serranus","Species"
"Lampanyctus crocodilus","Myctophidae","Lampanyctus","Species"
"Pagellus","Sparidae","Pagellus","Genus"
"Macrourus berglax","Macrouridae","Macrourus","Species"
"Xiphias gladius","Xiphiidae","Xiphias","Species"
"Serranus cabrilla","Serranidae","Serranus","Species"
"Pagellus bogaraveo","Sparidae","Pagellus","Species"
"Dicentrarchus punctatus","Moronidae","Dicentrarchus","Species"
"Deania calceus","Centrophoridae","Deania","Species"
"Myliobatis aquila","Myliobatidae","Myliobatis","Species"
"Solea senegalensis","Soleidae","Solea","Species"
"Gaidropsarus biscayensis","Lotidae","Gaidropsarus","Species"
"Xenodermichthys copei","Alepocephalidae","Xenodermichthys","Species"
"Hexanchus griseus","Hexanchidae","Hexanchus","Species"
"Argyropelecus hemigymnus","Sternoptychidae","Argyropelecus","Species"
"Beryx decadactylus","Berycidae","Beryx","Species"
"Mora moro","Moridae","Mora","Species"
"Polymetme corythaeola","Phosichthyidae","Polymetme","Species"
"Hymenocephalus italicus","Macrouridae","Hymenocephalus","Species"
"Synaphobranchus kaupii","Synaphobranchidae","Synaphobranchus","Species"
"Rajella bathyphila","Rajidae","Rajella","Species"
"Lepidopus caudatus","Trichiuridae","Lepidopus","Species"
"Diplodus sargus","Sparidae","Diplodus","Subspecies"
"Dalatias licha","Dalatiidae","Dalatias","Species"
"Scorpaena porcus","Scorpaenidae","Scorpaena","Species"
"Diaphus","Myctophidae","Diaphus","Genus"
"Halargyreus johnsonii","Moridae","Halargyreus","Species"
"Argyropelecus","Sternoptychidae","Argyropelecus","Genus"
"Centroscyllium fabricii","Etmopteridae","Centroscyllium","Species"
"Hoplostethus mediterraneus","Trachichthyidae","Hoplostethus","Subspecies"
"Nezumia sclerorhynchus","Macrouridae","Nezumia","Species"
"Serranus scriba","Serranidae","Serranus","Species"
"Hippocampus guttulatus","Syngnathidae","Hippocampus","Species"
"Diplodus vulgaris","Sparidae","Diplodus","Species"
"Chlorophthalmus agassizi","Chlorophthalmidae","Chlorophthalmus","Species"
"Myctophum punctatum","Myctophidae","Myctophum","Species"
"Scorpaena notata","Scorpaenidae","Scorpaena","Species"
"Scymnodon ringens","Somniosidae","Scymnodon","Species"
"Ceratoscopelus maderensis","Myctophidae","Ceratoscopelus","Species"
"Cyttopsis rosea","Parazenidae","Cyttopsis","Species"
"Mola mola","Molidae","Mola","Species"
"Stomias boa","Stomiidae","Stomias","Subspecies"
"Macroparalepis affinis","Paralepididae","Macroparalepis","Species"
"Trachyrincus scabrus","Macrouridae","Trachyrincus","Species"
"Myctophum","Myctophidae","Myctophum","Genus"
"Scomber colias","Scombridae","Scomber","Species"
"Polymetme thaeocoryla","Phosichthyidae","Polymetme","Species"
"Spratelloides lewisi","Spratelloididae","Spratelloides","Species"
"Deania profundorum","Centrophoridae","Deania","Species"
"Lestidiops jayakari","Paralepididae","Lestidiops","Subspecies"
"Benthosema glaciale","Myctophidae","Benthosema","Species"
"Nezumia aequalis","Macrouridae","Nezumia","Species"
"Etmopterus princeps","Etmopteridae","Etmopterus","Species"
"Lepidotrigla dieuzeidei","Triglidae","Lepidotrigla","Species"
"Naucrates ductor","Carangidae","Naucrates","Species"
"Prionace glauca","Carcharhinidae","Prionace","Species"
"Dasyatis tortonesei","Dasyatidae","Dasyatis","Species"
"Diplodus sargus","Sparidae","Diplodus","Species"
"Symphodus roissali","Labridae","Symphodus","Species"
"Serrivomer beanii","Serrivomeridae","Serrivomer","Species"
"Engraulis maeoticus","Engraulidae","Engraulis","Species"
"Carapus acus","Carapidae","Carapus","Species"
"Ijimaia loppei","Ateleopodidae","Ijimaia","Species"
"Trachyscorpia echinata","Sebastidae","Trachyscorpia","Species"
"Diplodus cervinus","Sparidae","Diplodus","Subspecies"
"Aphanopus carbo","Trichiuridae","Aphanopus","Species"
"Pagellus bellottii","Sparidae","Pagellus","Species"
"Myoxocephalus scorpioides","Cottidae","Myoxocephalus","Species"
"Alopias vulpinus","Alopiidae","Alopias","Species"
"Macrouridae","Macrouridae",NA,"Family"
"Scorpaenidae","Scorpaenidae",NA,"Family"
"Galeus murinus","Pentanchidae","Galeus","Species"
"Rostroraja alba","Rajidae","Rostroraja","Species"
"Lampanyctus","Myctophidae","Lampanyctus","Genus"
"Notacanthidae","Notacanthidae",NA,"Family"
"Centroscymnus coelolepis","Somniosidae","Centroscymnus","Species"
"Epigonus telescopus","Epigonidae","Epigonus","Species"
"Notacanthus bonaparte","Notacanthidae","Notacanthus","Species"
"Chauliodus sloani","Stomiidae","Chauliodus","Species"
"Centrolophus niger","Centrolophidae","Centrolophus","Species"
"Centrophorus squamosus","Centrophoridae","Centrophorus","Species"
"Heptranchias perlo","Hexanchidae","Heptranchias","Species"
"Mullidae","Mullidae",NA,"Family"
"Coelorinchus labiatus","Macrouridae","Coelorinchus","Species"
"Balistes","Balistidae","Balistes","Genus"
"Centroselachus crepidater","Somniosidae","Centroscymnus","Species"
"Hydrolagus mirabilis","Chimaeridae","Hydrolagus","Species"
"Magnisudis atlantica","Paralepididae","Magnisudis","Species"
"Chimaera opalescens","Chimaeridae","Chimaera","Species"
"Petromyzontidae","Petromyzontidae",NA,"Family"
"Macroramphosus","Centriscidae","Macroramphosus","Genus"
"Synchiropus phaeton","Callionymidae","Synchiropus","Species"
"Lepidotrigla","Triglidae","Lepidotrigla","Genus"
"Citharus linguatula","Citharidae","Citharus","Species"
"Engraulis","Engraulidae","Engraulis","Genus"
"Scorpaena","Scorpaenidae","Scorpaena","Genus"
"Conger","Congridae","Conger","Genus"
"Anthias anthias","Serranidae","Anthias","Species"
"Dentex dentex","Sparidae","Dentex","Species"
"Gonostoma","Gonostomatidae","Gonostoma","Genus"
"Raja miraletus","Rajidae","Raja","Species"
"Nettastoma melanura","Nettastomatidae","Nettastoma","Species"
"Phycis phycis","Phycidae","Phycis","Species"
"Zenopsis conchifer","Zeidae","Zenopsis","Species"
"Diplodus puntazzo","Sparidae","Diplodus","Species"
"Monochirus hispidus","Soleidae","Monochirus","Species"
"Callanthias ruber","Callanthiidae","Callanthias","Species"
"Ephippion guttifer","Tetraodontidae","Ephippion","Species"
"Dentex maroccanus","Sparidae","Dentex","Species"
"Spicara maena","Sparidae","Spicara","Species"
"Microchirus boscanion","Soleidae","Microchirus","Species"
"Symphurus nigrescens","Cynoglossidae","Symphurus","Species"
"Benthodesmus elongatus","Trichiuridae","Benthodesmus","Species"
"Arnoglossus rueppelii","Bothidae","Arnoglossus","Species"
"Trachyscorpia cristulata","Sebastidae","Trachyscorpia","Subspecies"
"Lesueurigobius sanzi","Gobiidae","Lesueurigobius","Species"
"Diplodus annularis","Sparidae","Diplodus","Species"
"Microchirus azevia","Soleidae","Microchirus","Species"
"Sphoeroides pachygaster","Tetraodontidae","Sphoeroides","Species"
"Hoplostethus atlanticus","Trachichthyidae","Hoplostethus","Species"
"Etmopterus pusillus","Etmopteridae","Etmopterus","Species"
"Epigonus denticulatus","Epigonidae","Epigonus","Species"
"Nezumia bairdii","Macrouridae","Nezumia","Species"
"Diplodus bellottii","Sparidae","Diplodus","Species"
"Pagrus auriga","Sparidae","Pagrus","Species"
"Chaunax pictus","Chaunacidae","Chaunax","Species"
"Peristedion cataphractum","Peristediidae","Peristedion","Species"
"Auxis rochei","Scombridae","Auxis","Subspecies"
"Vinciguerria poweriae","Phosichthyidae","Vinciguerria","Species"
"Gnathophis mystax","Congridae","Gnathophis","Species"
"Pontinus kuhlii","Scorpaenidae","Pontinus","Species"
"Diplodus cervinus","Sparidae","Diplodus","Species"
"Uranoscopus scaber","Uranoscopidae","Uranoscopus","Species"
"Squalus blainville","Squalidae","Squalus","Species"
"Raja asterias","Rajidae","Raja","Species"
"Argyropelecus aculeatus","Sternoptychidae","Argyropelecus","Species"
"Neoraja iberica","Rajidae","Neoraja","Species"
"Lepidotrigla cavillone","Triglidae","Lepidotrigla","Species"
"Spicara smaris","Sparidae","Spicara","Species"
"Galeus atlanticus","Pentanchidae","Galeus","Species"
"Hygophum benoiti","Myctophidae","Hygophum","Species"
"Torpedo torpedo","Torpedinidae","Torpedo","Species"
"Symphodus","Labridae","Symphodus","Genus"
"Dentex gibbosus","Sparidae","Dentex","Species"
"Gadella maraldi","Moridae","Gadella","Species"
"Dentex canariensis","Sparidae","Dentex","Species"
"Schedophilus medusophagus","Centrolophidae","Schedophilus","Species"
"Physiculus dalwigki","Moridae","Physiculus","Species"
"Dipturus nidarosiensis","Rajidae","Dipturus","Species"
"Stomias ferox","Stomiidae","Stomias","Subspecies"
"Serranidae","Serranidae",NA,"Family"
"Apletodon dentatus","Gobiesocidae","Apletodon","Species"
"Hoplostethus mediterraneus","Trachichthyidae","Hoplostethus","Species"
"Paralepis coregonoides","Paralepididae","Paralepis","Species"
"Stomias boa","Stomiidae","Stomias","Species"
"Chiasmodon","Chiasmodontidae","Chiasmodon","Genus"
"Alepocephalus rostratus","Alepocephalidae","Alepocephalus","Species"
"Paraliparis membranaceus","Liparidae","Paraliparis","Species"
"Nemichthys scolopaceus","Nemichthyidae","Nemichthys","Species"
"Notacanthus","Notacanthidae","Notacanthus","Genus"
"Lampadena","Myctophidae","Lampadena","Genus"
"Melanostomias bartonbeani","Stomiidae","Melanostomias","Species"
"Nesiarchus nasutus","Gempylidae","Nesiarchus","Species"
"Chirostomias pliopterus","Stomiidae","Chirostomias","Species"
"Deltentosteus quadrimaculatus","Gobiidae","Deltentosteus","Species"
"Echiostoma barbatum","Stomiidae","Echiostoma","Species"
"Hoplostethus cadenati","Trachichthyidae","Hoplostethus","Species"
"Sagamichthys schnakenbecki","Platytroctidae","Sagamichthys","Species"
"Searsia koefoedi","Platytroctidae","Searsia","Species"
"Scomberesox saurus","Scomberesocidae","Scomberesox","Species"
"Melamphaes","Melamphaidae","Melamphaes","Genus"
"Poromitra capito","Melamphaidae","Poromitra","Species"
"Monomitopus metriostoma","Ophidiidae","Monomitopus","Species"
"Sigmops bathyphilus","Gonostomatidae","Sigmops","Species"
"Nansenia","Microstomatidae","Nansenia","Genus"
"Guttigadus latifrons","Moridae","Guttigadus","Species"
"Zeugopterus norvegicus","Scophthalmidae","Zeugopterus","Species"
"Parasudis fraserbrunneri","Chlorophthalmidae","Parasudis","Species"
"Lampadena atlantica","Myctophidae","Lampadena","Species"
"Notoscopelus","Myctophidae","Notoscopelus","Genus"
"Alepocephalus bairdii","Alepocephalidae","Alepocephalus","Species"
"Diretmus argenteus","Diretmidae","Diretmus","Species"
"Sigmops elongatus","Gonostomatidae","Sigmops","Species"
"Bellottia apoda","Bythitidae","Bellottia","Species"
"Howella brodiei","Howellidae","Howella","Species"
"Melanonus zugmayeri","Melanonidae","Melanonus","Species"
"Cataetyx alleni","Bythitidae","Cataetyx","Species"
"Lampanyctus photonotus","Myctophidae","Lampanyctus","Species"
"Polyacanthonotus rissoanus","Notacanthidae","Polyacanthonotus","Species"
"Nessorhamphus ingolfianus","Derichthyidae","Nessorhamphus","Species"
"Oxynotus paradoxus","Oxynotidae","Oxynotus","Species"
"Nansenia tenera","Microstomatidae","Nansenia","Species"
"Lobianchia gemellarii","Myctophidae","Lobianchia","Species"
"Urophycis chuss","Phycidae","Urophycis","Species"
"Alepocephalidae","Alepocephalidae",NA,"Family"
"Argyropelecus gigas","Sternoptychidae","Argyropelecus","Species"
"Electrona risso","Myctophidae","Electrona","Species"
"Lophius","Lophiidae","Lophius","Genus"
"Trachipterus trachypterus","Trachipteridae","Trachipterus","Species"
"Anoplogaster cornuta","Anoplogastridae","Anoplogaster","Species"
"Echiodon dentatus","Carapidae","Echiodon","Species"
"Melanostigma atlanticum","Zoarcidae","Melanostigma","Species"
"Poromitra crassiceps","Melamphaidae","Poromitra","Species"
"Neoscopelus macrolepidotus","Neoscopelidae","Neoscopelus","Species"
"Astronesthes niger","Stomiidae","Astronesthes","Species"
"Evermannella balbo","Evermannellidae","Evermannella","Species"
"Poecilopsetta beanii","Pleuronectidae","Poecilopsetta","Species"
"Gaidropsarus granti","Lotidae","Gaidropsarus","Species"
"Isurus oxyrinchus","Lamnidae","Isurus","Species"
"Remora remora","Echeneidae","Remora","Species"
"Lampanyctus intricarius","Myctophidae","Lampanyctus","Species"
"Ichthyococcus ovatus","Phosichthyidae","Ichthyococcus","Species"
"Neoraja caerulea","Rajidae","Neoraja","Species"
"Diaphus dumerilii","Myctophidae","Diaphus","Species"
"Auxis rochei","Scombridae","Auxis","Species"
"Facciolella oxyrhynchus","Nettastomatidae","Facciolella","Species"
"Umbrina cirrosa","Sciaenidae","Umbrina","Species"
"Benthosema","Myctophidae","Benthosema","Genus"
"Congridae","Congridae",NA,"Family"
"Protomyctophum arcticum","Myctophidae","Protomyctophum","Species"
"Gonostomatidae","Gonostomatidae",NA,"Family"
"Epigonus","Epigonidae","Epigonus","Genus"
"Synaphobranchidae","Synaphobranchidae",NA,"Family"
"Microchirus theophila","Soleidae","Microchirus","Species"
"Cyclothone","Gonostomatidae","Cyclothone","Genus"
"Remora brachyptera","Echeneidae","Remora","Species"
"Rajella","Rajidae","Rajella","Genus"
"Antigonia capros","Caproidae","Antigonia","Species"
"Breviraja","Rajidae","Breviraja","Genus"
"Cubiceps gracilis","Nomeidae","Cubiceps","Species"
"Lobianchia dofleini","Myctophidae","Lobianchia","Species"
"Epigonus constanciae","Epigonidae","Epigonus","Species"
"Dysomma brevirostre","Synaphobranchidae","Dysomma","Species"
"Lesueurigobius suerii","Gobiidae","Lesueurigobius","Species"
"Benthodesmus simonyi","Trichiuridae","Benthodesmus","Species"
"Ophichthus rufus","Ophichthidae","Ophichthus","Species"
"Pomatomus saltatrix","Pomatomidae","Pomatomus","Species"
"Pomadasys incisus","Haemulidae","Pomadasys","Species"
"Zenion hololepis","Zeniontidae","Zenion","Species"
"Callionymus risso","Callionymidae","Callionymus","Species"
"Halobatrachus didactylus","Batrachoididae","Halobatrachus","Species"
"Stromateus fiatola","Stromateidae","Stromateus","Species"
"Sphyraena sphyraena","Sphyraenidae","Sphyraena","Species"
"Bathytoshia centroura","Dasyatidae","Bathytoshia","Species"
"Aetomylaeus bovinus","Myliobatidae","Aetomylaeus","Species"
"Microchirus ocellatus","Soleidae","Microchirus","Species"
"Sardinella aurita","Dorosomatidae","Sardinella","Species"
"Lobianchia","Myctophidae","Lobianchia","Genus"
"Plectorhinchus mediterraneus","Haemulidae","Plectorhinchus","Species"
"Notoscopelus bolini","Myctophidae","Notoscopelus","Species"
"Ruvettus pretiosus","Gempylidae","Ruvettus","Species"
"Notoscopelus elongatus","Myctophidae","Notoscopelus","Species"
"Valenciennellus tripunctulatus","Sternoptychidae","Valenciennellus","Species"
"Setarches guentheri","Setarchidae","Setarches","Species"
